slug,linkedin_url,raw_file
sarahochmanchamberlain,https://www.linkedin.com/in/sarahochmanchamberlain/,sarahochmanchamberlain.txt
jennabryant,https://www.linkedin.com/in/jennabryant/,jennabryant.txt
lnlpierre,https://www.linkedin.com/in/lnlpierre/,lnlpierre.txt
regina-gina-kline-b042054,https://www.linkedin.com/in/regina-gina-kline-b042054/,regina-gina-kline-b042054.txt
cleliapeters,https://www.linkedin.com/in/cleliapeters/,cleliapeters.txt
karen-kerr,https://www.linkedin.com/in/karen-kerr/,karen-kerr.txt
kellygraziadei,https://www.linkedin.com/in/kellygraziadei/,kellygraziadei.txt
laurel-mintz,https://www.linkedin.com/in/laurel-mintz/,laurel-mintz.txt
constancebowen,https://www.linkedin.com/in/constancebowen/,constancebowen.txt
arian-simone-2b408959,https://www.linkedin.com/in/arian-simone-2b408959/,arian-simone-2b408959.txt
marigay-mckee-352402b4,https://www.linkedin.com/in/marigay-mckee-352402b4/,marigay-mckee-352402b4.txt
mindabrusse,https://www.linkedin.com/in/mindabrusse/,mindabrusse.txt
millieliu1,https://www.linkedin.com/in/millieliu1/,millieliu1.txt
sedaatamgoff,https://www.linkedin.com/in/sedaatamgoff/,sedaatamgoff.txt
hredman,https://www.linkedin.com/in/hredman/,hredman.txt
sivapriyaramachandran,https://www.linkedin.com/in/sivapriyaramachandran/,sivapriyaramachandran.txt
helensandhill,https://www.linkedin.com/in/helensandhill/,helensandhill.txt
cvic-innocent,https://www.linkedin.com/in/cvic-innocent/,cvic-innocent.txt
jennylefcourt,https://www.linkedin.com/in/jennylefcourt/,jennylefcourt.txt
siranushb,https://www.linkedin.com/in/siranushb/,siranushb.txt
maryannasaenko,https://www.linkedin.com/in/maryannasaenko/,maryannasaenko.txt
julieallegro,https://www.linkedin.com/in/julieallegro/,julieallegro.txt
lolitataub,https://www.linkedin.com/in/lolitataub/,lolitataub.txt
jennyrooke,https://www.linkedin.com/in/jennyrooke/,jennyrooke.txt
rudinaseseri,https://www.linkedin.com/in/rudinaseseri/,rudinaseseri.txt
maureen-stancik-boyce-phd-4a388535,https://www.linkedin.com/in/maureen-stancik-boyce-phd-4a388535/,maureen-stancik-boyce-phd-4a388535.txt
lesliefeinzaig,https://www.linkedin.com/in/lesliefeinzaig/,lesliefeinzaig.txt
jennifergillroberts,https://www.linkedin.com/in/jennifergillroberts/,jennifergillroberts.txt
promisephelon,https://www.linkedin.com/in/promisephelon/,promisephelon.txt
elizabethannedwards,https://www.linkedin.com/in/elizabethannedwards/,elizabethannedwards.txt
katie-haun,https://www.linkedin.com/in/katie-haun/,katie-haun.txt
mariam-naficy,https://www.linkedin.com/in/mariam-naficy/,mariam-naficy.txt
jamiemelzer,https://www.linkedin.com/in/jamiemelzer/,jamiemelzer.txt
heatherhartnett,https://www.linkedin.com/in/heatherhartnett/,heatherhartnett.txt
elizabethyin,https://www.linkedin.com/in/elizabethyin/,elizabethyin.txt
karalaforgia2684214,https://www.linkedin.com/in/karalaforgia2684214/,karalaforgia2684214.txt
clairechang,https://www.linkedin.com/in/clairechang/,clairechang.txt
natalie-massenet-77a732157,https://www.linkedin.com/in/natalie-massenet-77a732157/,natalie-massenet-77a732157.txt
della-c-334382271,https://www.linkedin.com/in/della-c-334382271/,della-c-334382271.txt
alexavontobel,https://www.linkedin.com/in/alexavontobel/,alexavontobel.txt
lindsay-hoover-213a7,https://www.linkedin.com/in/lindsay-hoover-213a7/,lindsay-hoover-213a7.txt
hservillon,https://www.linkedin.com/in/hservillon/,hservillon.txt
kathrynecooper,https://www.linkedin.com/in/kathrynecooper/,kathrynecooper.txt
jennifer-kan,https://www.linkedin.com/in/jennifer-kan/,jennifer-kan.txt
paigesoya,https://www.linkedin.com/in/paigesoya/,paigesoya.txt
arianetom,https://www.linkedin.com/in/arianetom/,arianetom.txt
madelinedarcy,https://www.linkedin.com/in/madelinedarcy/,madelinedarcy.txt
tinahoang1013,https://www.linkedin.com/in/tinahoang1013/,tinahoang1013.txt
karen-levert-3a0884,https://www.linkedin.com/in/karen-levert-3a0884/,karen-levert-3a0884.txt
joannadrake,https://www.linkedin.com/in/joannadrake/,joannadrake.txt
lisa-lambie-environment-sustainability-cleantech-healthtech-diversity-venturecapital,https://www.linkedin.com/in/lisa-lambie-environment-sustainability-cleantech-healthtech-diversity-venturecapital/,lisa-lambie-environment-sustainability-cleantech-healthtech-diversity-venturecapital.txt
saradeshpande,https://www.linkedin.com/in/saradeshpande/,saradeshpande.txt
frances-pollock-a844661b9,https://www.linkedin.com/in/frances-pollock-a844661b9/,frances-pollock-a844661b9.txt
scmoatti,https://www.linkedin.com/in/scmoatti/,scmoatti.txt
lfarleigh,https://www.linkedin.com/in/lfarleigh/,lfarleigh.txt
cfreedman,https://www.linkedin.com/in/cfreedman/,cfreedman.txt
karanortman,https://www.linkedin.com/in/karanortman/,karanortman.txt
katiestanton,https://www.linkedin.com/in/katiestanton/,katiestanton.txt
rohinichakravarthy,https://www.linkedin.com/in/rohinichakravarthy/,rohinichakravarthy.txt
olivia-wang-63143229,https://www.linkedin.com/in/olivia-wang-63143229/,olivia-wang-63143229.txt
mallun,https://www.linkedin.com/in/mallun/,mallun.txt
leura-craig-19424327,https://www.linkedin.com/in/leura-craig-19424327/,leura-craig-19424327.txt
erin-foster-84978736a,https://www.linkedin.com/in/erin-foster-84978736a/,erin-foster-84978736a.txt
juliaarnhold,https://www.linkedin.com/in/juliaarnhold/,juliaarnhold.txt
julia-monfrini-peev-894838b,https://www.linkedin.com/in/julia-monfrini-peev-894838b/,julia-monfrini-peev-894838b.txt
ninafaulhaber,https://www.linkedin.com/in/ninafaulhaber/,ninafaulhaber.txt
erica-wenger-ms-811b80132,https://www.linkedin.com/in/erica-wenger-ms-811b80132/,erica-wenger-ms-811b80132.txt
mar-hershenson-b21395,https://www.linkedin.com/in/mar-hershenson-b21395/,mar-hershenson-b21395.txt
helenmin,https://www.linkedin.com/in/helenmin/,helenmin.txt
hannah-friedman,https://www.linkedin.com/in/hannah-friedman/,hannah-friedman.txt
angelajackson,https://www.linkedin.com/in/angelajackson/,angelajackson.txt
jennyhe,https://www.linkedin.com/in/jennyhe/,jennyhe.txt
alexisji,https://www.linkedin.com/in/alexisji/,alexisji.txt
carol-matthews-7bbb2236,https://www.linkedin.com/in/carol-matthews-7bbb2236/,carol-matthews-7bbb2236.txt
cathrynchen,https://www.linkedin.com/in/cathrynchen/,cathrynchen.txt
kat-taylor-community,https://www.linkedin.com/in/kat-taylor-community/,kat-taylor-community.txt
sarahniyogi,https://www.linkedin.com/in/sarahniyogi/,sarahniyogi.txt
rachel-ten-brink-a08151,https://www.linkedin.com/in/rachel-ten-brink-a08151/,rachel-ten-brink-a08151.txt
ericaduignanminnihan,https://www.linkedin.com/in/ericaduignanminnihan/,ericaduignanminnihan.txt
amyjomartin,https://www.linkedin.com/in/amyjomartin/,amyjomartin.txt
rquintini,https://www.linkedin.com/in/rquintini/,rquintini.txt
nataliabishop,https://www.linkedin.com/in/nataliabishop/,nataliabishop.txt
tahiradosani,https://www.linkedin.com/in/tahiradosani/,tahiradosani.txt
johanna-schmidtke-1676627,https://www.linkedin.com/in/johanna-schmidtke-1676627/,johanna-schmidtke-1676627.txt
carolinejlewis,https://www.linkedin.com/in/carolinejlewis/,carolinejlewis.txt
nu-dao,https://www.linkedin.com/in/nu-dao/,nu-dao.txt
sarah-b-smith-37b99934,https://www.linkedin.com/in/sarah-b-smith-37b99934/,sarah-b-smith-37b99934.txt
elizabethweil,https://www.linkedin.com/in/elizabethweil/,elizabethweil.txt
victoria-kennedy-10,https://www.linkedin.com/in/victoria-kennedy-10/,victoria-kennedy-10.txt
serena-williams-aa2132205,https://www.linkedin.com/in/serena-williams-aa2132205/,serena-williams-aa2132205.txt
katelinholloway,https://www.linkedin.com/in/katelinholloway/,katelinholloway.txt
sita-chantramonklasri,https://www.linkedin.com/in/sita-chantramonklasri/,sita-chantramonklasri.txt
greer-tessler-50256640,https://www.linkedin.com/in/greer-tessler-50256640/,greer-tessler-50256640.txt
kellinikole,https://www.linkedin.com/in/kellinikole/,kellinikole.txt
pocketsun,https://www.linkedin.com/in/pocketsun/,pocketsun.txt
amywildstein,https://www.linkedin.com/in/amywildstein/,amywildstein.txt
oksana-malysheva----62193a3,https://www.linkedin.com/in/oksana-malysheva----62193a3/,oksana-malysheva----62193a3.txt
tantara,https://www.linkedin.com/in/tantara/,tantara.txt
sonamvelani,https://www.linkedin.com/in/sonamvelani/,sonamvelani.txt
sheenajindal,https://www.linkedin.com/in/sheenajindal/,sheenajindal.txt
shaynaharris,https://www.linkedin.com/in/shaynaharris/,shaynaharris.txt
jesskamada,https://www.linkedin.com/in/jesskamada/,jesskamada.txt
lindafingerle,https://www.linkedin.com/in/lindafingerle/,lindafingerle.txt
tamikatyson,https://www.linkedin.com/in/tamikatyson/,tamikatyson.txt
tracydgray,https://www.linkedin.com/in/tracydgray/,tracydgray.txt
arielwintonjones,https://www.linkedin.com/in/arielwintonjones/,arielwintonjones.txt
jana-budkovskaja,https://www.linkedin.com/in/jana-budkovskaja/,jana-budkovskaja.txt
amberillig,https://www.linkedin.com/in/amberillig/,amberillig.txt
lindseytaylorwood,https://www.linkedin.com/in/lindseytaylorwood/,lindseytaylorwood.txt
maariab,https://www.linkedin.com/in/maariab/,maariab.txt
amigalani,https://www.linkedin.com/in/amigalani/,amigalani.txt
sorayadarabi,https://www.linkedin.com/in/sorayadarabi/,sorayadarabi.txt
sheilagulati,https://www.linkedin.com/in/sheilagulati/,sheilagulati.txt
casey-k-caruso,https://www.linkedin.com/in/casey-k-caruso/,casey-k-caruso.txt
anna-lena-kamenetzky-wetzel,https://www.linkedin.com/in/anna-lena-kamenetzky-wetzel/,anna-lena-kamenetzky-wetzel.txt
waneta-tuttle-15a9507,https://www.linkedin.com/in/waneta-tuttle-15a9507/,waneta-tuttle-15a9507.txt
rchakaki,https://www.linkedin.com/in/rchakaki/,rchakaki.txt
cristinamnunez,https://www.linkedin.com/in/cristinamnunez/,cristinamnunez.txt
sophiaamoruso,https://www.linkedin.com/in/sophiaamoruso/,sophiaamoruso.txt
amandaheyman,https://www.linkedin.com/in/amandaheyman/,amandaheyman.txt
leshika,https://www.linkedin.com/in/leshika/,leshika.txt
tcburning,https://www.linkedin.com/in/tcburning/,tcburning.txt
julie-lein-76a0679,https://www.linkedin.com/in/julie-lein-76a0679/,julie-lein-76a0679.txt
lisacalhoun,https://www.linkedin.com/in/lisacalhoun/,lisacalhoun.txt
jennifer-abele-vc414,https://www.linkedin.com/in/jennifer-abele-vc414/,jennifer-abele-vc414.txt
marycsingh,https://www.linkedin.com/in/marycsingh/,marycsingh.txt
ashley5,https://www.linkedin.com/in/ashley5/,ashley5.txt
lorihu,https://www.linkedin.com/in/lorihu/,lorihu.txt
dana-eli-lorch-63139831,https://www.linkedin.com/in/dana-eli-lorch-63139831/,dana-eli-lorch-63139831.txt
erika-lucas-51207911,https://www.linkedin.com/in/erika-lucas-51207911/,erika-lucas-51207911.txt
lori-cashman,https://www.linkedin.com/in/lori-cashman/,lori-cashman.txt
b-franco,https://www.linkedin.com/in/b-franco/,b-franco.txt
galevc,https://www.linkedin.com/in/galevc/,galevc.txt
sarah-sclarsic,https://www.linkedin.com/in/sarah-sclarsic/,sarah-sclarsic.txt
vanessa-indriolo-vreeland-76b3b010,https://www.linkedin.com/in/vanessa-indriolo-vreeland-76b3b010/,vanessa-indriolo-vreeland-76b3b010.txt
katebrodock,https://www.linkedin.com/in/katebrodock/,katebrodock.txt
saratillim,https://www.linkedin.com/in/saratillim/,saratillim.txt
rachel-hirsch-43b31265,https://www.linkedin.com/in/rachel-hirsch-43b31265/,rachel-hirsch-43b31265.txt
mchaurushiya,https://www.linkedin.com/in/mchaurushiya/,mchaurushiya.txt
debenton,https://www.linkedin.com/in/debenton/,debenton.txt
jessicalin8,https://www.linkedin.com/in/jessicalin8/,jessicalin8.txt
jane-woodward-12298b147,https://www.linkedin.com/in/jane-woodward-12298b147/,jane-woodward-12298b147.txt
mwelkhoff,https://www.linkedin.com/in/mwelkhoff/,mwelkhoff.txt
dianamelencio,https://www.linkedin.com/in/dianamelencio/,dianamelencio.txt
suzannerombeaufletcher,https://www.linkedin.com/in/suzannerombeaufletcher/,suzannerombeaufletcher.txt
melissaaallen,https://www.linkedin.com/in/melissaaallen/,melissaaallen.txt
victoriakgrace,https://www.linkedin.com/in/victoriakgrace/,victoriakgrace.txt
daynagrayson,https://www.linkedin.com/in/daynagrayson/,daynagrayson.txt
nilanjanabhowmik,https://www.linkedin.com/in/nilanjanabhowmik/,nilanjanabhowmik.txt
veronica-juarez-2047485,https://www.linkedin.com/in/veronica-juarez-2047485/,veronica-juarez-2047485.txt
ale1v,https://www.linkedin.com/in/ale1v/,ale1v.txt
melissa-kang-02216b,https://www.linkedin.com/in/melissa-kang-02216b/,melissa-kang-02216b.txt
